Titolo,Minuti,Lingue,Note,Copie,Proprietario,Giocatori,BGG_ID,Bgg_Link,Bgg_XML,BGG_Image,BGG_Thumb,SEARCH_BGG_IMAGE,SEARCH_BGG_THUMB,Barcode
Pandemic (Edizione Deluxe),45,,,1,,"2, 3, 4",30549,https://boardgamegeek.com/boardgame/30549/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=30549,https://cf.geekdo-images.com/S3ybV1LAp-8SnHIXLLjVqA__original/img/IsrvRLpUV1TEyZsO5rC-btXaPz0=/0x0/filters:format(jpeg)/pic1534148.jpg,https://cf.geekdo-images.com/S3ybV1LAp-8SnHIXLLjVqA__thumb/img/oqViRj6nVxK3m36NluTxU1PZkrk=/fit-in/200x150/filters:strip_icc()/pic1534148.jpg,,,DD226
Paper Tales,30,,,1,,"2, 3, 4, 5",217861,https://boardgamegeek.com/boardgame/217861/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=217861,https://cf.geekdo-images.com/V62ulI0ifY0LIGocVuKCIQ__original/img/XGKDfeYi6S3jBz4eE4cly-Nc5Us=/0x0/filters:format(jpeg)/pic4043983.jpg,https://cf.geekdo-images.com/V62ulI0ifY0LIGocVuKCIQ__thumb/img/-aesB6Vzn2VfsN619Ellkc8Z0UE=/fit-in/200x150/filters:strip_icc()/pic4043983.jpg,,,DD240
Paperback,45,,,1,,"2, 3, 4, 5",141572,https://boardgamegeek.com/boardgame/141572/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=141572,https://cf.geekdo-images.com/ekb86vFJsW5XpaW7dKHkcg__original/img/jDQUI8GaooPFFg6Rd0PP3uyt6Hc=/0x0/filters:format(jpeg)/pic6247451.jpg,https://cf.geekdo-images.com/ekb86vFJsW5XpaW7dKHkcg__thumb/img/IKW7YU1pzjA-QklR-uOk0bo6ZgA=/fit-in/200x150/filters:strip_icc()/pic6247451.jpg,,,DD221
Papillon,30-60,,,1,,"2,3,4",241066,https://boardgamegeek.com/boardgame/241066/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=241066,https://cf.geekdo-images.com/5ARo48WI-UZFSBXbTsw12A__original/img/r3-tVHw8dUGuHxHI9dfpF_m0AX4=/0x0/filters:format(jpeg)/pic4126905.jpg,https://cf.geekdo-images.com/5ARo48WI-UZFSBXbTsw12A__thumb/img/aMWDdmUim9or-0suK9K3ZueIXvA=/fit-in/200x150/filters:strip_icc()/pic4126905.jpg,,,DD221
Parsec – Age of Colonies,15,,,1,,4,197935,https://boardgamegeek.com/boardgame/197935/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=197935,https://cf.geekdo-images.com/oHTM_-5lD7Jiw3KmhmLnUw__original/img/kyPOioGAPOsg8ZaXzZiiHorQ22M=/0x0/filters:format(jpeg)/pic2975934.jpg,https://cf.geekdo-images.com/oHTM_-5lD7Jiw3KmhmLnUw__thumb/img/f4hIBv43IcO5l4iJh1IyLA3iLro=/fit-in/200x150/filters:strip_icc()/pic2975934.jpg,,,DD221
Patchwork,30,,,1,,2,163412,https://boardgamegeek.com/boardgame/163412/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=163412,https://cf.geekdo-images.com/wLW7pFn0--20lEizEz5p3A__original/img/B1j7R-slq8wxgC71Sg1F7S1s7Kg=/0x0/filters:format(jpeg)/pic2270442.jpg,https://cf.geekdo-images.com/wLW7pFn0--20lEizEz5p3A__thumb/img/P49TUiytgjmRAtKsfO7Y3yU_xic=/fit-in/200x150/filters:strip_icc()/pic2270442.jpg,,,DD218
Pavia Rules,?,,,1,,"2, 3, 4, 5, 6",,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,DD384
Pharaon,60,,,1,,"1, 2, 3, 4, 5",282414,https://boardgamegeek.com/boardgame/282414/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=282414,https://cf.geekdo-images.com/JFTxNxcUeN8p-1titW8Icw__original/img/Mu0v5SBzKuda4r0ECPJh9rpUdMk=/0x0/filters:format(jpeg)/pic4911304.jpg,https://cf.geekdo-images.com/JFTxNxcUeN8p-1titW8Icw__thumb/img/4Si3lsynkTK9g7UyjTodmfR00vs=/fit-in/200x150/filters:strip_icc()/pic4911304.jpg,,,DD222
Photosynthesis,45-60,,,1,,"2, 3, 4",218603,https://boardgamegeek.com/boardgame/218603/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=218603,https://cf.geekdo-images.com/HhkYuVxMy-XrRCBWmZ78Eg__original/img/V6bgfuxV2jfmRbz9pJVyK01x6dI=/0x0/filters:format(jpeg)/pic3364832.jpg,https://cf.geekdo-images.com/HhkYuVxMy-XrRCBWmZ78Eg__thumb/img/eVdvmMALg8vjPr6eDoj-mqvDbUc=/fit-in/200x150/filters:strip_icc()/pic3364832.jpg,,,DD223
Pictionary,,,,1,,"2, 4 squadre",2281,https://boardgamegeek.com/boardgame/2281/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=2281,https://cf.geekdo-images.com/YfUxodD7JSqYitxvjXB69Q__original/img/YRJAlLzkxMuJHVPsdnBLNFpoODA=/0x0/filters:format(png)/pic5147022.png,https://cf.geekdo-images.com/YfUxodD7JSqYitxvjXB69Q__thumb/img/7ls1a8ak5oT7BaKM-rVHpOVrP14=/fit-in/200x150/filters:strip_icc()/pic5147022.png,,,
Planet,30,,,1,,"2, 3, 4",252929,https://boardgamegeek.com/boardgame/252929/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=252929,https://cf.geekdo-images.com/bTE1oeN-8Y-RdSpjR0b-2A__original/img/u-ZcZzzK3CLQZZJ-SlHjmSJHzwE=/0x0/filters:format(png)/pic4199323.png,https://cf.geekdo-images.com/bTE1oeN-8Y-RdSpjR0b-2A__thumb/img/72I7C1n3SD0nxifUrB6A24tuIxw=/fit-in/200x150/filters:strip_icc()/pic4199323.png,,,DD231
Planet Steam,90-180,,,1,,"2, 3, 4, 5",23094,https://boardgamegeek.com/boardgame/23094/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=23094,https://cf.geekdo-images.com/lwHHsQY7ej48gRR08yLKMQ__original/img/qTxAtURdmG99z3Q9E7l14q1_yos=/0x0/filters:format(jpeg)/pic1639600.jpg,https://cf.geekdo-images.com/lwHHsQY7ej48gRR08yLKMQ__thumb/img/Qmmoyno4oj-v8CqWYSwlv7GOyuI=/fit-in/200x150/filters:strip_icc()/pic1639600.jpg,,,DD224
Pocket Detective - Omicidio all'università,,,,1,,,,#N/A,#N/A,#N/A,#N/A,,,DD399
